GID,NAME,AO-A12D.01TCGA,C8-A131.01TCGA,AO-A12B.01TCGA,BH-A18Q.02TCGA,C8-A130.02TCGA,C8-A138.03TCGA,E2-A154.03TCGA,C8-A12L.04TCGA,A2-A0EX.04TCGA,AO-A12D.05TCGA,AN-A04A.05TCGA,BH-A0AV.05TCGA,C8-A12T.06TCGA,A8-A06Z.07TCGA,A2-A0CM.07TCGA,BH-A18U.08TCGA,A2-A0EQ.08TCGA,AR-A0U4.09TCGA,AO-A0J9.10TCGA,AR-A1AP.11TCGA,AN-A0FK.11TCGA,AO-A0J6.11TCGA,A7-A13F.12TCGA,BH-A0E1.12TCGA,A7-A0CE.13TCGA,A2-A0YC.13TCGA,AO-A0JC.14TCGA,A8-A08Z.14TCGA,AR-A0TX.14TCGA,A8-A076.15TCGA,AO-A126.15TCGA,BH-A0C1.16TCGA,A2-A0EY.16TCGA,AR-A1AW.17TCGA,AR-A1AV.17TCGA,C8-A135.17TCGA,A2-A0EV.18TCGA,AN-A0AM.18TCGA,D8-A142.18TCGA,AN-A0FL.19TCGA,BH-A0DG.19TCGA,AR-A0TV.20TCGA,C8-A12Z.20TCGA,AO-A0JJ.20TCGA,AO-A0JE.21TCGA,AN-A0AJ.21TCGA,A7-A0CJ.22TCGA,AO-A12F.22TCGA,A8-A079.23TCGA,A2-A0T3.24TCGA,A2-A0YD.24TCGA,AR-A0TR.25TCGA,AO-A03O.25TCGA,AO-A12E.26TCGA,A8-A06N.26TCGA,A2-A0YG.27TCGA,BH-A18N.27TCGA,AN-A0AL.28TCGA,A2-A0T6.29TCGA,E2-A158.29TCGA,E2-A15A.29TCGA,AO-A0JM.30TCGA,C8-A12V.30TCGA,A2-A0D2.31TCGA,C8-A12U.31TCGA,AR-A1AS.31TCGA,A8-A09G.32TCGA,C8-A131.32TCGA,C8-A134.32TCGA,A2-A0YF.33TCGA,BH-A0DD.33TCGA,BH-A0E9.33TCGA,AR-A0TT.34TCGA,AO-A12B.34TCGA,A2-A0SW.35TCGA,AO-A0JL.35TCGA,BH-A0BV.35TCGA,A2-A0YM.36TCGA,BH-A0C7.36TCGA,A2-A0SX.36TCGA,263d3f-I.CPTAC,blcdb9-I.CPTAC,c4155b-C.CPTAC
NP_067058,EPS15L1,-0.736381735260028,-1.00481469196038,1.89269939278127,-0.597514847961508,0.9589223270298,-1.14805824847826,1.20889074889098,-0.434761258180096,0.686110751036705,-0.892993901719289,-0.661107841635591,-0.115067039963947,1.68630642335899,-0.120544028942737,-1.36641905254087,-0.00396317581326833,-1.08488952241918,-0.691295366999281,0.338050431434398,-1.24761416253516,0.715379343942314,0.613751459767586,0.692615508526483,1.15697929590903,-0.504540977853275,1.37532471866066,0.796168148376425,1.04180033208774,0.730303715712834,0.26534636337626,0.184347719751566,-0.688444640770763,-0.0201580909830844,0.996055514831585,0.0433794209172924,-0.984761003251799,0.433381718981019,-0.0737400000727925,-0.780784472237292,-0.62879587489491,0.136320413148704,-0.178001507675975,0.169190381502578,0.997396691744301,-1.08093991246518,0.555396107400111,1.27348611056894,-0.664769620278614,1.09182922076984,1.6498049828115,1.24018062927161,-0.533085841824776,-0.441819442711918,1.24969625954141,-0.353181644213692,-0.135682706740888,1.30040982295043,-1.02017025411514,0.161162829105542,-1.03723088598554,-0.378743464913937,-0.26967803788434,-1.27768950562628,-0.381491999417496,0.0565167171051864,-0.996656619044214,-0.349318599573811,-0.816732771533367,-0.785204723879708,0.178826044164866,-0.180839478519799,0.92002487929412,-0.467484727586635,2.02521058830541,-0.0921860718030406,-0.210291010622682,1.08123881037506,0.488467159142547,1.353318203925,-0.228744836822918,1.60188584081318,1.2031543820962,1.35264482912629
NP_660208,SPATA5,-1.1021223590961,-0.255956720171035,1.2580318751808,-0.51388030144044,-0.585895909058391,-1.10782971765638,-0.281409993066354,-1.49574682134395,0.0933167527557435,-1.1825175698624,-0.0739349345887721,-0.256772210412,-0.366415720275432,0.620687074733035,-0.0917085894580094,-0.111067658100838,-1.11933337123857,0.270274004193107,-0.438941627849082,-0.664255960487607,-0.653782603478798,0.780315574935121,0.740826677005513,0.319370136319758,1.65751511001138,0.289951096994541,0.967605788034833,-0.323177635130297,-0.0204004859999458,-0.472394735895308,0.0844300020418794,0.663816001636041,-0.836282343641974,-0.304035114584338,1.05809188323242,-0.9573754704212,0.609819574943173,-0.698155791741524,-0.701260183181335,0.0120805680956154,-0.411749093282711,0.334658155241102,-0.0808450082528909,1.29511998467796,-0.859515731421834,0.201695789247133,0.719169533487084,-0.682007930548112,1.54691044407114,0.694957608504322,0.634244872820133,-0.165871874664175,-0.0496766538858832,1.27411370959445,0.306173275113736,-0.0849642790911604,0.416466481726486,-0.771925248786786,0.0920029683240272,0.0787007438463413,0.453335588039965,0.379882108747375,0.214706063965556,-0.807273031318931,-0.17042305163194,-0.46306784335745,-1.2692834338187,0.193374402847117,0.609939074309024,-0.544208004180844,0.743571792299518,0.7443190733972,-0.460161983429409,1.0945025349894,0.200483543001825,0.336021683298911,0.743083093955469,0.412801088478798,0.525505917258604,-0.627959043754551,1.23680314597473,0.699051561274165,0.801503513114501
NP_000509,HBB,-4.4242663589404,3.43571068670401,-0.737429315528125,-4.01314972788196,-5.10883507586437,-4.56748336833811,-0.0292631503614513,-3.13794411419964,-2.80311974517402,-6.07143621926632,-2.31046994008171,-1.7311807695977,-2.21089068991796,-2.94688132511154,-6.59383400633601,-1.67077668141357,-5.64295884951857,-1.20212909544524,-2.55654692931597,-4.6195073162143,-5.93483582924594,2.80731616290613,-4.81952808757586,6.5081300408498,-2.68553478327587,-4.37912888275461,-2.14320810976682,-0.0616464235635874,6.11035049465442,-1.63838554645135,-4.60785974117074,3.27911596571353,-1.42339213764658,-6.25399943659595,-2.02085094437284,-2.5662755242189,-0.476813569712634,-5.54261656468819,-1.99895199095809,4.1868678935339,-1.81237116527411,-4.03555536470775,-2.54994448208815,-3.10983146304504,-2.81240441013198,-2.6933170887858,-2.80614869758835,-1.37892818858639,-2.1366093126502,0.781480995172934,0.953469564023839,-5.38978669781982,-5.24284539201955,-0.494794894248009,7.26039524477225,-2.4247744079986,-2.64414366417142,-2.74795549120045,-1.31194220554072,-2.5587521242503,-2.52157070343501,0.359369683064268,2.67734391453274,-0.251761841260028,-3.35856077050351,-4.59043002880209,-2.20796848271392,3.36040216011525,3.20596614182477,2.44635167222288,-2.11412599414192,0.896597438507864,-4.87943808231535,-1.00958284934771,0.95627870211329,4.64686840027792,1.41939452679465,-0.580029475078882,-0.920376459452513,4.37115617438933,4.54418192958522,4.03202365635427,6.91487243681977
NP_000510,HBD,-4.6757130378277,3.94169580277789,-0.853831218319479,-4.12354732928978,-5.35482524084656,-4.66622612580999,-0.0970040931776939,-3.54369569907884,-2.90066812463798,-6.14473335044179,-2.5281857370766,-2.06857403256926,-2.4871369411317,-3.02457410368379,-6.54975180011989,-1.91510878163209,-5.93381801732676,-1.16607024402552,-2.50823654221027,-4.66501753055843,-6.13434228444159,2.56452779164498,-4.87979204817464,6.46907054636118,-2.68237849701621,-4.73039525485746,-1.85643969433821,-0.083142139582769,5.57180182820829,-1.5448183826413,-5.04211751429361,3.35439645508463,-1.30263905944705,-6.63270451483422,-3.10785162959696,-2.7716670204484,-0.504819578595516,-5.54261656468819,-2.11823842454202,4.22322967753336,-1.65310310357609,-4.32690293270434,-3.0656424734588,-3.06246639371469,-2.56557089683776,-2.88228027245657,-2.59658999161839,-1.48482066595617,-2.18277697298511,0.787661237077834,0.480544095573904,-5.28317619122481,-5.1938275434163,-0.114967893422941,7.6436100696805,-2.65469794667736,-2.7419713857298,-3.04584949759447,-1.34652213593148,-2.72009163699708,-2.46788818388959,0.66705606831087,2.92916252180878,-0.271720327130408,-3.55621798843585,-4.6681714398293,-2.2480832283932,3.7705208624953,3.14238996874275,2.49556341373332,-2.02027713416027,1.0371620832254,-5.1467182440541,-1.36073956885038,0.779390473385075,4.4239477033329,1.49564532559514,-0.355324174319869,-1.29523485341465,4.50224143636688,4.30079346635959,3.73524496017095,6.82106114898797
NP_000550,HBG1,-6.30630665243018,2.69090059584325,-2.18968162654406,-2.46758330817261,-6.13871389992316,-7.51148039666663,-5.44477518994884,-4.78562453658072,-0.975963560599156,-7.99548591262243,-6.17987342303632,-3.88712371998594,-3.23512679057198,-4.30755485253902,-8.63998307820101,-3.88315364366618,-6.48874669275028,-0.742378739843876,-1.92046016575748,-4.92980423219704,-7.49568044930601,4.19629149616761,-5.42618529093697,6.02639627549017,-4.65821369556114,-5.46844931759042,-4.3781315213137,-2.01775658130912,5.47932377437411,-2.19618979224205,-5.56092104855544,4.29958482163289,-0.428220217312529,-6.67955462760596,-3.88695803206055,-1.50508612703318,0.469789530528765,-7.07222571877603,-0.585588490009034,2.97783857555177,-2.12622293391432,-6.27108766529696,-3.86263027830436,-5.14991266348818,-6.38786044829088,-2.6933170887858,-7.41644022892766,-3.81691778384398,-1.85300797059287,-0.914995407722343,-1.59441639725019,-6.01286588080846,-6.48463088996866,0.023397656877619,7.41537182837485,-5.02155790366465,-5.04441668955026,-5.02518967341252,-3.51814176447104,-1.42041222875914,-6.48513006320467,0.301251143628799,0.510963248996194,-2.5469877163537,-4.85197086154783,-5.68587718418552,-1.9218166302017,3.61482765140658,2.70795278601562,3.35487613087717,-2.75699068501627,-0.473907847488111,-5.87166991561949,-3.33064311727997,1.16854457658715,4.74733970030947,1.65477742743966,-0.706139592851798,-0.793192361501072,5.28279458723321,5.41497176468135,5.24439620246487,8.34549457625463
NP_000175,HBG2,-6.30630665243018,2.60184721541425,-2.17582425716414,-2.27355116024373,-5.34826550311371,-7.42736619585725,-5.56144014702125,-4.78562453658072,-0.585770042743333,-8.08710732659177,-6.73405908811421,-4.09293361039859,-3.55812240737574,-4.42934353246309,-8.71345342189455,-3.79947826687902,-6.90207287858297,-0.883609241237758,-2.84640925195023,-5.19872822604875,-7.67953933938827,1.10779756407807,-5.42618529093697,6.02639627549017,-4.99278003908472,-5.94206689795382,-4.25344960156213,-2.57306257847131,5.36780612122113,-1.91908703788151,-5.94137697368079,4.27449132517586,-0.553137194760318,-6.73421309250633,-4.08240396807375,-1.88848358666157,0.363366696773815,-7.64635299031036,-0.589203230420669,3.0369264745509,-1.85921471283235,-6.20105219222086,-3.89075925965185,-5.01458389397288,-6.32252216536006,-2.76115002651377,-7.21702146034334,-3.80952993658562,-1.99151095159761,-1.42795548582911,-2.06438608152231,-6.01286588080846,-6.81141654732369,0.164476257184073,7.42664285263686,-4.76120330839605,-4.52033960977322,-4.95899100532496,-3.25187630046221,-0.970006089007718,-5.87672817502332,0.448256861024398,0.0776871158888853,-2.66673863157598,-5.18139955810173,-5.80955670172881,-2.18122531892773,3.61482765140658,2.36887986291153,3.88106321318112,-2.57633162955158,-0.360675217021207,-5.87166991561949,-2.34283641038629,0.460991661674287,4.6971040502937,1.18069637402788,-0.419525688822444,-0.873519160207246,5.55390274268678,5.51773578248773,5.25386786298136,8.36699299638275
NP_005321,HBE1,-6.46631817535846,6.14779090886001,-1.18917955731362,-3.26043880919234,-6.28630799891248,-6.38508153365398,3.10940053345778,-3.13794411419964,-1.84639525427753,-9.19389400734138,-7.0804251287879,-3.69818349272187,-0.931658049682012,-4.12487183265293,-8.28732542847204,-3.09995211693833,-4.82396066647972,-0.405829459926541,-0.640234907456201,-4.28024935473983,-5.94657150308098,4.89642540399047,-5.01639035886522,7.83181290963077,-1.99115180615145,-3.82262822582762,-4.23163026560561,1.27467058896221,7.64439821119792,0.19697035905353,-5.86067420168451,5.52916614802753,0.417051330084178,-5.40288905457591,-4.31533268633606,-0.923143554382951,1.6208364956152,-5.54261656468819,0.104826928613137,4.67093414302674,-0.94108118069083,-4.92080374438969,-0.162106509923418,-1.85804034502852,-3.32785086436402,-1.50139546870865,-4.087160787308,-3.43767495791502,-0.90986862375106,1.98662816662859,3.69643728103346,-5.33055863860037,-5.16387219149209,0.237728607343193,7.04061027166311,-1.6978102783525,-1.34792635352288,-2.86380316035368,0.123124905675709,-2.38396765210796,-2.11895180684441,1.25166020027941,3.12913612170446,2.18649984923803,-2.50570647831399,-3.22288793482343,-1.47788011135097,4.59075826725539,3.76755567071593,4.60031174294911,-1.47360752476712,2.60680061590455,-5.0332157096171,-1.38643396296033,2.59008270563935,6.21987219139699,3.07039008343146,-0.0732960927549856,0.0145382254887801,6.28083010456229,6.51562848171281,6.12841785067052,9.3187866875095
NP_620137,FCHO2,-0.660185771960846,-0.00903598352698091,2.17816120200769,0.175268361893169,-1.26482876440925,-0.365430467034407,0.587932106408758,-0.511525071535621,0.0970686135043572,-0.467870540901557,-1.39012588914878,-0.0408405221102041,0.011829146771076,0.513597028592909,-0.337834240831358,0.82274954684391,-0.529960846995656,-0.159427308558491,1.20361153374501,0.436263768197853,1.43516733915798,0.769023092550881,-0.0104640317926927,-0.14066390987953,-0.289913512196637,-0.100783406805261,0.313025709339094,0.221380504022304,1.00229799169572,0.0602183504080682,-1.07230972990488,-0.459815006384458,0.537804408283707,0.636871316914874,-0.467992822624103,-0.481551837489539,1.2427553756963,0.0938884003751891,-0.256647112550304,-1.06286467138849,-0.852078440330173,-0.595412927209551,0.491110945812744,0.351201817308746,0.668674108237962,0.460914515564726,0.337231891961174,-1.79511025080713,0.409207385817904,-0.392764966758223,0.598775462686388,-0.156395385189062,-0.556194422786178,1.11675680925264,-0.155938719628564,0.510131938665644,0.905605089518389,-0.8149543830437,1.23314067121902,-1.45850628037991,-1.13924582514062,-0.0679725186671229,0.240628567655736,-0.275046741442137,0.503075616878243,0.554637900998764,1.09213792850176,0.0908447272521057,-0.375491608462257,0.720155200779718,0.131207980919209,-0.134209956087399,-0.383273169778536,2.49912941300007,1.80855834962196,-0.863354460827804,0.179490233256154,1.17175470634853,0.590213616216354,-0.0708466803499588,1.3476801125553,0.948471954875045,0.993034892437748
NP_005511,HNRNPH1,-0.884963863693431,-0.753846074387735,0.542991615176766,-0.092362186974252,0.319347898076091,-1.15902966597514,-0.883551706988509,-0.0317512380635924,-0.368162119323739,-1.07623672965797,-0.6149257028791,-0.125188837853093,0.904317035307781,-0.0932465662011361,-0.488448445403108,-0.0642094471000263,-0.878226429502831,0.180126875643821,-0.048432665411271,-0.205016524833148,-0.121765389623737,-1.0349509683314,-0.135009550363518,-0.73089627104088,0.518095770275409,-0.424422086720249,-0.541045440959156,0.733695069146134,-0.175437223310194,-0.314050304832142,-0.0846615202360527,-0.646622146675707,-0.773823854918079,-0.471914685349757,-0.494766238516322,-0.303545874090644,-0.280771507532463,0.772783422189515,0.17350699643419,-0.817422629392121,0.108214284613759,0.303842547087616,0.0910543222039937,-0.613015665487764,-0.794177448491011,0.962393733767922,1.66556368948049,-0.615517305222905,1.03576849036316,0.141825958015698,0.282506555660494,-0.189563098351955,-0.115033785356889,-0.527351494318729,0.272360202327714,-0.223594648000416,0.29418182977851,-0.0238802993973569,0.420512307036222,0.549274322691112,0.234131966562862,-0.508989670853919,-8.03951816572083e-05,-0.0654826398031501,0.539678805384231,-1.70339671929158,0.394141353682233,-0.778758817609288,0.203757968507242,-1.14610545803931,0.307174593384815,-1.6140432990859,0.17691675824926,0.769040209596689,-0.571392364175842,0.383117605188704,-0.735519352349793,-0.385132020338922,1.30869220464379,-0.0291377333571016,-0.182962889508099,0.250726296827015,-0.445404854316432
NP_055241,SNX5,-0.831626689384005,-0.482638052172134,0.55130603680472,0.670384877297897,-0.205431120552594,-0.548287425315682,0.618039192104866,-1.78635268618987,1.60156477369844,-0.907653327954383,-0.36422266391529,0.94434780576674,1.26556213304883,0.24272220600318,-1.05417009184334,1.41517121449703,-0.889707712442628,-0.102334127143943,1.62632742091996,1.16442719770402,0.257688064375828,0.975110896063255,1.11848083009124,1.23509828488627,0.0699031214041958,-0.0810493409567865,1.42892889111564,0.880582461943875,0.931579479940173,0.639615018616471,-0.419001575649237,-0.30367769509625,-0.590612287994655,0.305016351448346,-0.210968030058794,0.353706913843736,1.78047074624762,-0.128219230218387,0.310867132076298,-0.858329636391516,-1.60157520126202,-0.528178873056491,0.562996120367441,1.3830836848629,0.708603058917909,1.58742580283277,-0.558462577104014,-1.12281615029671,0.630152617420706,-0.207357709611199,1.20471121913787,-1.03533978400573,-0.264810544977944,2.12872446145085,-0.240471401593619,1.03422235771283,0.0181679010959363,-0.080149167271783,1.74492364100223,0.148166367390093,-0.624788346163746,-0.649157913021815,0.336912152790694,-0.135337340349479,0.623866138948004,-0.487803746866108,0.00903979516111646,-0.0838354607986547,-0.711032521950687,0.69744208931336,-0.155031042024844,0.935643173151624,-0.390595913935762,0.320815779011984,0.197267393388584,-0.517984366969326,0.839225405486529,2.10267666663587,-0.00554347418776322,0.563725156041369,1.10158733307161,0.890589585052056,1.58717304870578
